AeroDyn airfoil file Created with QBlade v0.963 64bit on 12.03.2022 at 14:34:59 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.30          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.42          Angle of attack for zero Cn for linear Cn curve (deg)
5.65895        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4929        Cn at stall value for positive angle of attack for linear Cn curve
-0.5328        Cn at stall value for negative angle of attack for linear Cn curve
-3.40          Angle of attack for minimum CD (deg)
0.0002         Minimum CD value
   -102.00    0.0823    1.5901
   -101.00    0.0703    1.6012
   -100.00    0.0583    1.6113
    -99.00    0.0464    1.6206
    -98.00    0.0346    1.6289
    -97.00    0.0228    1.6362
    -96.00    0.0111    1.6425
    -95.00   -0.0005    1.6479
    -94.00   -0.0121    1.6523
    -93.00   -0.0236    1.6557
    -92.00   -0.0350    1.6581
    -91.00   -0.0465    1.6595
    -90.00   -0.0578    1.6599
    -89.00   -0.0691    1.6593
    -88.00   -0.0804    1.6578
    -87.00   -0.0917    1.6552
    -86.00   -0.1029    1.6516
    -85.00   -0.1140    1.6471
    -84.00   -0.1252    1.6415
    -83.00   -0.1363    1.6350
    -82.00   -0.1474    1.6275
    -81.00   -0.1584    1.6190
    -80.00   -0.1695    1.6096
    -79.00   -0.1805    1.5993
    -78.00   -0.1914    1.5880
    -77.00   -0.2024    1.5758
    -76.00   -0.2133    1.5627
    -75.00   -0.2242    1.5487
    -74.00   -0.2351    1.5339
    -73.00   -0.2459    1.5182
    -72.00   -0.2567    1.5016
    -71.00   -0.2674    1.4843
    -70.00   -0.2781    1.4661
    -69.00   -0.2887    1.4472
    -68.00   -0.2992    1.4275
    -67.00   -0.3097    1.4071
    -66.00   -0.3201    1.3860
    -65.00   -0.3304    1.3642
    -64.00   -0.3405    1.3417
    -63.00   -0.3506    1.3186
    -62.00   -0.3605    1.2949
    -61.00   -0.3703    1.2706
    -60.00   -0.3800    1.2458
    -59.00   -0.3894    1.2204
    -58.00   -0.3987    1.1946
    -57.00   -0.4078    1.1683
    -56.00   -0.4167    1.1416
    -55.00   -0.4254    1.1145
    -54.00   -0.4338    1.0870
    -53.00   -0.4420    1.0591
    -52.00   -0.4499    1.0310
    -51.00   -0.4575    1.0026
    -50.00   -0.4648    0.9740
    -49.00   -0.4718    0.9451
    -48.00   -0.4785    0.9161
    -47.00   -0.4849    0.8870
    -46.00   -0.4909    0.8577
    -45.00   -0.4965    0.8284
    -44.00   -0.5018    0.7990
    -43.00   -0.5067    0.7696
    -42.00   -0.5112    0.7403
    -41.00   -0.5153    0.7110
    -40.00   -0.5191    0.6819
    -39.00   -0.5224    0.6528
    -38.00   -0.5253    0.6240
    -37.00   -0.5278    0.5953
    -36.00   -0.5300    0.5668
    -35.00   -0.5317    0.5387
    -34.00   -0.5330    0.5108
    -33.00   -0.5340    0.4832
    -32.00   -0.5346    0.4561
    -31.00   -0.5348    0.4293
    -30.00   -0.5347    0.4029
    -29.00   -0.5343    0.3770
    -28.00   -0.5336    0.3516
    -27.00   -0.5325    0.3267
    -26.00   -0.5312    0.3024
    -25.00   -0.5296    0.2787
    -24.00   -0.5276    0.2557
    -23.00   -0.5254    0.2333
    -22.00   -0.5227    0.2117
    -21.00   -0.5196    0.1908
    -20.00   -0.5158    0.1708
    -19.00   -0.5112    0.1516
    -18.00   -0.4855    0.1825
    -17.95   -0.4840    0.1820
    -17.90   -0.4826    0.1816
    -17.85   -0.4811    0.1811
    -17.80   -0.4797    0.1807
    -17.75   -0.4783    0.1802
    -17.70   -0.4768    0.1797
    -17.65   -0.4754    0.1793
    -17.60   -0.4740    0.1788
    -17.55   -0.4727    0.1784
    -17.50   -0.4713    0.1779
    -17.45   -0.4699    0.1774
    -17.40   -0.4686    0.1770
    -17.35   -0.4672    0.1765
    -17.30   -0.4659    0.1760
    -17.25   -0.4646    0.1755
    -17.20   -0.4633    0.1751
    -17.15   -0.4620    0.1746
    -17.10   -0.4607    0.1741
    -17.05   -0.4595    0.1736
    -17.00   -0.4582    0.1731
    -16.95   -0.4570    0.1726
    -16.90   -0.4558    0.1721
    -16.85   -0.4546    0.1716
    -16.80   -0.4534    0.1711
    -16.75   -0.4523    0.1705
    -16.70   -0.4511    0.1700
    -16.65   -0.4500    0.1695
    -16.60   -0.4489    0.1690
    -16.55   -0.4477    0.1685
    -16.50   -0.4467    0.1679
    -16.45   -0.4456    0.1674
    -16.40   -0.4445    0.1669
    -16.35   -0.4435    0.1663
    -16.30   -0.4425    0.1658
    -16.25   -0.4415    0.1653
    -16.20   -0.4405    0.1647
    -16.15   -0.4395    0.1642
    -16.10   -0.4386    0.1636
    -16.05   -0.4376    0.1630
    -16.00   -0.4367    0.1625
    -15.95   -0.4358    0.1619
    -15.90   -0.4349    0.1614
    -15.85   -0.4341    0.1608
    -15.80   -0.4332    0.1602
    -15.75   -0.4324    0.1596
    -15.70   -0.4315    0.1591
    -15.65   -0.4307    0.1585
    -15.60   -0.4299    0.1579
    -15.55   -0.4291    0.1573
    -15.50   -0.4284    0.1567
    -15.45   -0.4276    0.1562
    -15.40   -0.4268    0.1556
    -15.35   -0.4261    0.1550
    -15.30   -0.4254    0.1544
    -15.25   -0.4247    0.1538
    -15.20   -0.4239    0.1532
    -15.15   -0.4232    0.1526
    -15.10   -0.4225    0.1520
    -15.05   -0.4219    0.1514
    -15.00   -0.4212    0.1508
    -14.95   -0.4205    0.1502
    -14.90   -0.4198    0.1497
    -14.85   -0.4191    0.1491
    -14.80   -0.4185    0.1485
    -14.75   -0.4178    0.1479
    -14.70   -0.4172    0.1473
    -14.65   -0.4165    0.1467
    -14.60   -0.4159    0.1461
    -14.55   -0.4152    0.1455
    -14.50   -0.4146    0.1449
    -14.45   -0.4140    0.1443
    -14.40   -0.4134    0.1437
    -14.35   -0.4128    0.1431
    -14.30   -0.4122    0.1425
    -14.25   -0.4117    0.1419
    -14.20   -0.4111    0.1412
    -14.15   -0.4106    0.1406
    -14.10   -0.4101    0.1400
    -14.05   -0.4095    0.1394
    -14.00   -0.4090    0.1388
    -13.95   -0.4085    0.1382
    -13.90   -0.4080    0.1376
    -13.85   -0.4076    0.1370
    -13.80   -0.4071    0.1363
    -13.75   -0.4067    0.1357
    -13.70   -0.4062    0.1351
    -13.65   -0.4058    0.1345
    -13.60   -0.4054    0.1338
    -13.55   -0.4051    0.1332
    -13.50   -0.4047    0.1326
    -13.45   -0.4044    0.1320
    -13.40   -0.4041    0.1313
    -13.35   -0.4026    0.1306
    -13.30   -0.4007    0.1297
    -13.25   -0.3985    0.1290
    -13.20   -0.3967    0.1282
    -13.15   -0.3949    0.1273
    -13.10   -0.3931    0.1265
    -13.05   -0.3913    0.1257
    -13.00   -0.3895    0.1248
    -12.95   -0.3877    0.1240
    -12.90   -0.3860    0.1231
    -12.85   -0.3843    0.1223
    -12.80   -0.3826    0.1214
    -12.75   -0.3809    0.1206
    -12.70   -0.3791    0.1197
    -12.65   -0.3774    0.1189
    -12.60   -0.3757    0.1180
    -12.55   -0.3740    0.1171
    -12.50   -0.3723    0.1163
    -12.45   -0.3706    0.1154
    -12.40   -0.3688    0.1145
    -12.35   -0.3669    0.1137
    -12.30   -0.3649    0.1129
    -12.25   -0.3627    0.1122
    -12.20   -0.3603    0.1115
    -12.15   -0.3575    0.1109
    -12.10   -0.3534    0.1107
    -12.05   -0.3490    0.1105
    -12.00   -0.3476    0.1096
    -11.95   -0.3468    0.1085
    -11.90   -0.3459    0.1074
    -11.85   -0.3450    0.1064
    -11.80   -0.3443    0.1053
    -11.75   -0.3438    0.1041
    -11.70   -0.3434    0.1030
    -11.65   -0.3432    0.1018
    -11.60   -0.3431    0.1005
    -11.20   -0.4999    0.0521
    -11.15   -0.5093    0.0496
    -11.10   -0.5154    0.0477
    -11.05   -0.5199    0.0462
    -11.00   -0.5235    0.0448
    -10.95   -0.5267    0.0436
    -10.90   -0.5294    0.0424
    -10.85   -0.5313    0.0414
    -10.80   -0.5328    0.0404
    -10.75   -0.5337    0.0395
    -10.70   -0.5342    0.0386
    -10.65   -0.5342    0.0377
    -10.60   -0.5339    0.0369
    -10.55   -0.5410    0.0366
    -10.50   -0.5464    0.0362
    -10.45   -0.5493    0.0357
    -10.40   -0.5515    0.0351
    -10.35   -0.5528    0.0346
    -10.30   -0.5528    0.0340
    -10.25   -0.5515    0.0334
    -10.20   -0.5496    0.0328
    -10.15   -0.5475    0.0323
    -10.10   -0.5452    0.0317
    -10.05   -0.5425    0.0312
    -10.00   -0.5392    0.0307
     -9.95   -0.5356    0.0301
     -9.90   -0.5317    0.0296
     -9.85   -0.5275    0.0292
     -9.80   -0.5230    0.0287
     -9.75   -0.5183    0.0282
     -9.70   -0.5133    0.0278
     -9.65   -0.5080    0.0273
     -9.60   -0.5025    0.0269
     -9.55   -0.4968    0.0265
     -9.50   -0.4908    0.0262
     -9.45   -0.4971    0.0261
     -9.40   -0.4954    0.0258
     -9.35   -0.4922    0.0256
     -9.30   -0.4882    0.0253
     -9.25   -0.4833    0.0250
     -9.20   -0.4777    0.0248
     -9.15   -0.4268    0.0342
     -9.10   -0.4288    0.0333
     -9.05   -0.4306    0.0318
     -9.00   -0.4329    0.0299
     -8.95   -0.4359    0.0271
     -8.85   -0.3981    0.0314
     -8.80   -0.3932    0.0310
     -8.75   -0.3880    0.0306
     -8.70   -0.3822    0.0302
     -8.65   -0.3759    0.0297
     -8.60   -0.3691    0.0293
     -8.55   -0.3625    0.0288
     -8.50   -0.3560    0.0283
     -8.45   -0.3495    0.0279
     -8.40   -0.3445    0.0275
     -8.35   -0.3403    0.0271
     -8.30   -0.3358    0.0267
     -8.25   -0.3701    0.0192
     -8.20   -0.3645    0.0190
     -8.15   -0.3583    0.0189
     -8.10   -0.3520    0.0189
     -8.05   -0.3457    0.0189
     -8.00   -0.3398    0.0189
     -7.95   -0.3357    0.0189
     -6.95   -0.2425    0.0179
     -6.90   -0.2387    0.0176
     -6.85   -0.2341    0.0175
     -6.80   -0.2293    0.0174
     -6.75   -0.2245    0.0173
     -6.70   -0.2197    0.0173
     -6.65   -0.2148    0.0173
     -6.60   -0.2098    0.0172
     -6.55   -0.2048    0.0172
     -6.50   -0.1999    0.0172
     -6.45   -0.1949    0.0171
     -6.40   -0.1900    0.0171
     -6.35   -0.1851    0.0171
     -6.30   -0.1801    0.0170
     -6.25   -0.1751    0.0170
     -6.20   -0.1700    0.0170
     -6.15   -0.1648    0.0170
     -6.10   -0.1593    0.0171
     -6.05   -0.1535    0.0173
     -6.00   -0.1475    0.0177
     -5.95   -0.1416    0.0181
     -5.90   -0.1391    0.0169
     -5.75   -0.1279    0.0158
     -5.70   -0.1229    0.0158
     -5.65   -0.1179    0.0157
     -5.60   -0.1127    0.0158
     -5.55   -0.1075    0.0158
     -5.50   -0.1023    0.0158
     -5.45   -0.0970    0.0159
     -5.40   -0.0916    0.0161
     -5.35   -0.0861    0.0163
     -5.30   -0.0804    0.0166
     -5.25   -0.0744    0.0171
     -5.20   -0.0673    0.0180
     -5.15   -0.0603    0.0187
     -5.10   -0.0548    0.0190
     -4.95   -0.0504    0.0147
     -4.90   -0.0460    0.0146
     -4.85   -0.0415    0.0144
     -4.80   -0.0370    0.0143
     -4.75   -0.0325    0.0143
     -4.70   -0.0280    0.0142
     -4.65   -0.0235    0.0141
     -4.60   -0.0188    0.0140
     -4.55   -0.0136    0.0139
     -4.50   -0.0084    0.0137
     -4.45   -0.0031    0.0136
     -4.40    0.0021    0.0134
     -4.10    0.0288    0.0099
     -4.05    0.0339    0.0099
     -4.00    0.0390    0.0099
     -3.95    0.0441    0.0100
     -3.90    0.0492    0.0100
     -3.85    0.0544    0.0100
     -3.80    0.0596    0.0100
     -3.75    0.0637    0.0097
     -3.70    0.0688    0.0095
     -3.60    0.0731    0.0002
     -3.55    0.0783    0.0002
     -3.50    0.0836    0.0002
     -3.45    0.0889    0.0002
     -3.40    0.0943    0.0002
     -3.30    0.1115    0.0090
     -3.25    0.1167    0.0090
     -3.20    0.1220    0.0089
     -3.15    0.1273    0.0089
     -3.10    0.1325    0.0089
     -3.05    0.1378    0.0089
     -3.00    0.1430    0.0089
     -2.95    0.1482    0.0088
     -2.90    0.1534    0.0088
     -2.85    0.1586    0.0088
     -2.80    0.1638    0.0088
     -2.75    0.1694    0.0088
     -2.70    0.1750    0.0087
     -2.65    0.1806    0.0087
     -2.60    0.1862    0.0087
     -2.55    0.1916    0.0086
     -2.50    0.1968    0.0086
     -2.45    0.2016    0.0086
     -2.40    0.2066    0.0087
     -2.35    0.2116    0.0087
     -2.30    0.2164    0.0087
     -2.25    0.2211    0.0087
     -2.20    0.2260    0.0087
     -2.15    0.2316    0.0087
     -2.10    0.2369    0.0087
     -2.00    0.2462    0.0087
     -1.95    0.2510    0.0087
     -1.90    0.2556    0.0088
     -1.85    0.2604    0.0088
     -1.80    0.2656    0.0088
     -1.75    0.2708    0.0088
     -1.70    0.2758    0.0088
     -1.65    0.2808    0.0088
     -1.60    0.2858    0.0088
     -1.55    0.2912    0.0088
     -1.50    0.2966    0.0088
     -1.45    0.3020    0.0088
     -1.40    0.3073    0.0088
     -1.35    0.3124    0.0088
     -1.25    0.3227    0.0088
     -1.20    0.3280    0.0088
     -1.15    0.3333    0.0088
     -1.10    0.3386    0.0088
     -1.05    0.3440    0.0088
     -1.00    0.3492    0.0088
     -0.95    0.3545    0.0088
     -0.90    0.3597    0.0088
     -0.85    0.3649    0.0088
     -0.80    0.3702    0.0088
     -0.75    0.3755    0.0088
     -0.70    0.3811    0.0088
     -0.65    0.3866    0.0088
     -0.60    0.3920    0.0088
     -0.55    0.3974    0.0088
     -0.50    0.4027    0.0089
     -0.45    0.4079    0.0089
     -0.40    0.4130    0.0089
     -0.30    0.4235    0.0089
     -0.25    0.4290    0.0089
     -0.20    0.4344    0.0089
     -0.15    0.4391    0.0090
     -0.10    0.4435    0.0090
     -0.05    0.4479    0.0091
      0.00    0.4526    0.0091
      0.05    0.4578    0.0091
      0.10    0.4624    0.0092
      0.15    0.4667    0.0093
      0.20    0.4712    0.0093
      0.25    0.4758    0.0094
      0.30    0.4807    0.0094
      0.35    0.4858    0.0094
      0.40    0.4908    0.0095
      0.45    0.4958    0.0095
      0.50    0.5006    0.0095
      0.55    0.5055    0.0096
      0.60    0.5108    0.0096
      0.65    0.5159    0.0096
      0.70    0.5210    0.0096
      0.75    0.5257    0.0096
      0.80    0.5303    0.0095
      0.85    0.5352    0.0096
      0.90    0.5400    0.0095
      0.95    0.5445    0.0096
      1.00    0.5493    0.0095
      1.05    0.5543    0.0095
      1.10    0.5593    0.0095
      1.15    0.5643    0.0094
      1.20    0.5693    0.0094
      1.25    0.5742    0.0094
      1.30    0.5794    0.0094
      1.35    0.5847    0.0092
      1.40    0.5899    0.0092
      1.45    0.5951    0.0092
      1.50    0.6002    0.0092
      1.55    0.6051    0.0092
      1.60    0.6097    0.0092
      1.65    0.6147    0.0092
      1.70    0.6199    0.0091
      1.75    0.6250    0.0090
      1.80    0.6301    0.0089
      1.85    0.6352    0.0089
      1.90    0.6400    0.0088
      1.95    0.6449    0.0088
      2.00    0.6500    0.0088
      2.05    0.6550    0.0088
      2.10    0.6600    0.0089
      2.15    0.6650    0.0089
      2.20    0.6701    0.0089
      2.25    0.6752    0.0090
      2.30    0.6803    0.0090
      2.35    0.6854    0.0090
      2.40    0.6906    0.0090
      2.45    0.6959    0.0090
      2.50    0.7012    0.0091
      2.55    0.7065    0.0091
      2.60    0.7118    0.0091
      2.65    0.7171    0.0091
      2.70    0.7223    0.0092
      2.75    0.7275    0.0092
      2.80    0.7326    0.0092
      2.85    0.7376    0.0092
      2.90    0.7425    0.0093
      2.95    0.7472    0.0093
      3.00    0.7519    0.0094
      3.05    0.7563    0.0094
      3.10    0.7611    0.0095
      3.20    0.7684    0.0097
      3.25    0.7713    0.0099
      3.30    0.7748    0.0100
      3.35    0.7771    0.0102
      3.40    0.7813    0.0103
      3.45    0.7854    0.0103
      3.50    0.7897    0.0104
      3.55    0.7940    0.0105
      3.60    0.7986    0.0105
      3.65    0.8032    0.0106
      3.70    0.8079    0.0106
      3.75    0.8127    0.0107
      3.80    0.8175    0.0107
      3.85    0.8224    0.0107
      3.90    0.8273    0.0107
      3.95    0.8321    0.0108
      4.00    0.8370    0.0108
      4.05    0.8419    0.0108
      4.10    0.8467    0.0109
      4.15    0.8515    0.0109
      4.20    0.8564    0.0109
      4.25    0.8612    0.0110
      4.30    0.8660    0.0110
      4.35    0.8707    0.0110
      4.40    0.8754    0.0111
      4.45    0.8800    0.0111
      4.50    0.8847    0.0112
      4.55    0.8869    0.0113
      4.60    0.8903    0.0114
      4.65    0.8938    0.0115
      4.70    0.8973    0.0116
      4.75    0.9012    0.0117
      4.80    0.9056    0.0117
      4.85    0.9100    0.0118
      4.90    0.9145    0.0118
      4.95    0.9189    0.0119
      5.00    0.9233    0.0119
      5.05    0.9276    0.0120
      5.10    0.9317    0.0120
      5.15    0.9357    0.0121
      5.20    0.9394    0.0121
      5.25    0.9431    0.0122
      5.30    0.9466    0.0122
      5.35    0.9500    0.0123
      5.40    0.9534    0.0123
      5.45    0.9566    0.0124
      5.50    0.9598    0.0124
      5.55    0.9631    0.0125
      5.60    0.9664    0.0125
      5.65    0.9699    0.0126
      5.70    0.9736    0.0126
      5.75    0.9772    0.0127
      5.80    0.9809    0.0127
      5.85    0.9846    0.0128
      5.90    0.9898    0.0128
      5.95    0.9937    0.0128
      6.00    0.9976    0.0129
      6.05    1.0014    0.0129
      6.10    1.0052    0.0130
      6.15    1.0090    0.0130
      6.20    1.0128    0.0131
      6.25    1.0164    0.0131
      6.30    1.0197    0.0132
      6.40    1.0208    0.0136
      6.45    1.0237    0.0137
      6.50    1.0271    0.0138
      6.55    1.0302    0.0139
      6.60    1.0334    0.0140
      6.65    1.0368    0.0140
      6.70    1.0404    0.0141
      6.75    1.0442    0.0141
      6.80    1.0479    0.0142
      6.85    1.0517    0.0142
      6.90    1.0555    0.0142
      6.95    1.0592    0.0143
      7.00    1.0629    0.0143
      7.05    1.0665    0.0144
      7.10    1.0701    0.0144
      7.15    1.0737    0.0145
      7.20    1.0772    0.0145
      7.25    1.0808    0.0146
      7.30    1.0845    0.0146
      7.35    1.0882    0.0147
      7.40    1.0920    0.0147
      7.45    1.0957    0.0148
      7.50    1.0994    0.0148
      7.55    1.1032    0.0148
      7.60    1.1069    0.0149
      7.65    1.1106    0.0149
      7.70    1.1144    0.0150
      7.75    1.1181    0.0150
      7.80    1.1218    0.0151
      7.85    1.1255    0.0151
      7.90    1.1292    0.0152
      7.95    1.1329    0.0152
      8.00    1.1366    0.0153
      8.05    1.1403    0.0153
      8.10    1.1439    0.0154
      8.15    1.1475    0.0155
      8.20    1.1510    0.0155
      8.25    1.1544    0.0156
      8.30    1.1578    0.0156
      8.35    1.1612    0.0157
      8.40    1.1645    0.0157
      8.45    1.1679    0.0158
      8.50    1.1712    0.0159
      8.55    1.1745    0.0159
      8.60    1.1778    0.0160
      8.65    1.1811    0.0161
      8.70    1.1843    0.0161
      8.75    1.1869    0.0162
      8.80    1.1898    0.0163
      8.85    1.1927    0.0164
      8.90    1.1957    0.0165
      8.95    1.1986    0.0166
      9.00    1.2016    0.0167
      9.05    1.2045    0.0168
      9.10    1.2074    0.0168
      9.15    1.2101    0.0169
      9.20    1.2129    0.0170
      9.25    1.2156    0.0171
      9.30    1.2184    0.0172
      9.35    1.2212    0.0173
      9.40    1.2241    0.0174
      9.50    1.2289    0.0176
      9.55    1.2318    0.0177
      9.60    1.2347    0.0178
      9.65    1.2376    0.0179
      9.70    1.2405    0.0180
      9.75    1.2434    0.0181
      9.80    1.2462    0.0182
      9.85    1.2488    0.0183
      9.90    1.2513    0.0184
      9.95    1.2536    0.0185
     10.00    1.2562    0.0186
     10.05    1.2569    0.0188
     10.10    1.2548    0.0191
     10.15    1.2570    0.0193
     10.20    1.2595    0.0194
     10.25    1.2620    0.0195
     10.30    1.2646    0.0196
     10.35    1.2672    0.0197
     10.40    1.2698    0.0198
     10.45    1.2722    0.0200
     10.50    1.2745    0.0201
     10.55    1.2768    0.0202
     10.60    1.2792    0.0203
     10.65    1.2816    0.0205
     10.70    1.2840    0.0206
     10.75    1.2865    0.0207
     10.85    1.2915    0.0210
     10.90    1.2939    0.0211
     10.95    1.2963    0.0212
     11.00    1.2986    0.0213
     11.05    1.3008    0.0215
     11.10    1.3030    0.0216
     11.15    1.3053    0.0217
     11.20    1.3075    0.0219
     11.25    1.3098    0.0220
     11.30    1.3120    0.0221
     11.35    1.3143    0.0223
     11.40    1.3166    0.0224
     11.45    1.3187    0.0226
     11.50    1.3207    0.0227
     11.55    1.3227    0.0229
     11.60    1.3247    0.0230
     11.65    1.3267    0.0232
     11.70    1.3287    0.0233
     11.75    1.3307    0.0235
     11.80    1.3329    0.0236
     11.85    1.3351    0.0238
     11.90    1.3372    0.0240
     11.95    1.3393    0.0241
     12.00    1.3413    0.0243
     12.05    1.3432    0.0245
     12.10    1.3450    0.0246
     12.15    1.3468    0.0248
     12.20    1.3486    0.0250
     12.25    1.3505    0.0252
     12.30    1.3523    0.0254
     12.35    1.3543    0.0256
     12.40    1.3562    0.0257
     12.45    1.3582    0.0259
     12.50    1.3600    0.0261
     12.55    1.3617    0.0263
     12.60    1.3634    0.0265
     12.65    1.3650    0.0267
     12.70    1.3666    0.0269
     12.75    1.3683    0.0271
     12.80    1.3700    0.0273
     12.85    1.3717    0.0275
     12.90    1.3735    0.0277
     12.95    1.3753    0.0279
     13.00    1.3770    0.0282
     13.05    1.3787    0.0284
     13.10    1.3802    0.0286
     13.15    1.3816    0.0288
     13.20    1.3830    0.0291
     13.25    1.3844    0.0293
     13.30    1.3859    0.0296
     13.35    1.3874    0.0298
     13.40    1.3886    0.0300
     13.45    1.3898    0.0303
     13.50    1.3909    0.0306
     13.55    1.3921    0.0308
     13.60    1.3934    0.0311
     13.65    1.3947    0.0314
     13.70    1.3960    0.0316
     13.75    1.3974    0.0319
     13.80    1.3987    0.0322
     13.85    1.4000    0.0325
     13.90    1.4011    0.0328
     13.95    1.4020    0.0331
     14.00    1.4030    0.0334
     14.05    1.4039    0.0337
     14.10    1.4049    0.0340
     14.15    1.4060    0.0343
     14.20    1.4068    0.0346
     14.25    1.4075    0.0349
     14.30    1.4081    0.0353
     14.35    1.4088    0.0356
     14.40    1.4096    0.0360
     14.45    1.4102    0.0363
     14.50    1.4110    0.0367
     14.55    1.4119    0.0370
     14.60    1.4127    0.0374
     14.75    1.4141    0.0385
     14.80    1.4145    0.0389
     14.85    1.4150    0.0393
     14.90    1.4155    0.0397
     14.95    1.4158    0.0401
     15.00    1.4158    0.0405
     15.05    1.4159    0.0410
     15.10    1.4161    0.0414
     15.15    1.4163    0.0418
     15.20    1.4166    0.0423
     15.25    1.4170    0.0427
     15.30    1.4172    0.0431
     15.35    1.4172    0.0436
     15.40    1.4170    0.0441
     15.45    1.4168    0.0446
     15.50    1.4167    0.0451
     15.55    1.4167    0.0456
     15.60    1.4166    0.0461
     15.65    1.4161    0.0466
     15.70    1.4156    0.0472
     15.75    1.4152    0.0477
     15.80    1.4149    0.0483
     15.85    1.4147    0.0488
     15.90    1.4145    0.0493
     15.95    1.4140    0.0499
     16.00    1.4132    0.0505
     16.05    1.4125    0.0511
     16.10    1.4118    0.0517
     16.15    1.4113    0.0523
     16.20    1.4106    0.0530
     16.25    1.4096    0.0536
     16.30    1.4085    0.0543
     16.35    1.4076    0.0550
     16.40    1.4068    0.0556
     16.45    1.4061    0.0563
     16.50    1.4049    0.0570
     16.55    1.4036    0.0577
     16.60    1.4024    0.0585
     16.65    1.4013    0.0592
     16.70    1.4003    0.0599
     16.75    1.3992    0.0607
     16.80    1.3977    0.0615
     16.85    1.3961    0.0623
     16.90    1.3947    0.0631
     16.95    1.3933    0.0639
     17.00    1.3920    0.0647
     17.05    1.3902    0.0656
     17.40    1.3773    0.0718
     17.45    1.3755    0.0727
     17.50    1.3738    0.0737
     17.55    1.3720    0.0746
     17.60    1.3701    0.0755
     17.65    1.3677    0.0765
     17.70    1.3652    0.0776
     17.75    1.3630    0.0786
     17.80    1.3609    0.0796
     17.85    1.3584    0.0807
     17.90    1.3557    0.0818
     17.95    1.3532    0.0829
     18.00    1.3509    0.0839
     18.05    1.3485    0.0849
     18.10    1.3465    0.0860
     18.15    1.3445    0.0874
